Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST00079,38,71025,722642,760,48,No
CUST00080,55,68404,78941,559,36,No
CUST00081,37,30014,163668,805,48,No
CUST00082,41,82199,685656,761,12,No
CUST00083,57,49914,317095,522,48,Yes
CUST00084,55,115027,804377,843,24,No
CUST00085,25,149370,746503,669,60,No
CUST00086,28,119339,993767,653,60,No
CUST00087,47,67753,471947,651,60,No
CUST00088,47,112153,447562,846,24,No
CUST00089,40,78225,624553,500,36,No
CUST00090,48,127990,658158,810,36,No
CUST00091,49,113555,274082,761,48,No
CUST00092,31,111356,138914,645,60,No
CUST00093,60,68933,147923,620,36,No
CUST00094,33,44313,75611,523,24,No
CUST00095,60,136376,855819,537,48,No
CUST00096,57,50485,803240,696,48,No
CUST00097,30,110990,771024,502,12,No
CUST00098,35,48053,893170,765,48,Yes
CUST00099,36,145254,939545,562,48,No
CUST00100,50,112500,606932,786,60,No
CUST00101,49,105301,904596,758,48,No
CUST00102,56,83446,990790,581,48,No
CUST00103,36,135082,718636,641,60,No
CUST00104,36,60992,511239,539,36,No
CUST00105,42,66904,986406,776,12,No
CUST00106,35,75205,777659,578,24,Yes
CUST00107,47,68369,618969,738,48,Yes
CUST00108,47,76049,998791,799,12,No
CUST00109,57,74857,550149,503,36,No
CUST00110,45,136863,984953,714,60,No
CUST00111,55,129840,682556,612,48,No
CUST00112,48,88654,80434,699,36,No
CUST00113,46,119919,223061,739,24,No
CUST00114,55,28534,463160,803,60,No
CUST00115,26,109246,499433,569,48,No
CUST00116,37,74689,393254,608,48,No
CUST00117,45,61471,838539,715,36,No
CUST00118,51,27540,835408,776,12,No
CUST00119,43,54389,731725,535,12,Yes
CUST00120,36,51130,929995,510,60,Yes
CUST00121,29,87070,751978,558,60,No
CUST00122,50,116680,318690,688,24,No
CUST00123,28,126946,909099,583,36,No
CUST00124,22,146751,377110,794,48,No
CUST00125,33,34961,670859,821,24,No
CUST00126,40,136449,767497,807,12,No
CUST00127,57,127581,93064,677,60,No
CUST00128,44,34038,580538,831,36,Yes
CUST00129,47,132784,564013,554,48,No
CUST00130,50,117708,210422,722,24,No
CUST00131,38,105728,897458,775,48,No
CUST00132,58,60179,387960,625,12,No
CUST00133,49,56963,836931,737,60,No
CUST00134,45,69092,80094,753,36,No
CUST00135,34,71507,886587,632,36,No
CUST00136,59,116905,972859,641,60,Yes
CUST00137,33,36221,303080,708,48,No
CUST00138,36,115519,549219,830,48,No
CUST00139,22,37196,358528,613,48,No
CUST00140,40,112026,659805,688,48,No
CUST00141,43,80771,832169,781,36,No
CUST00142,50,60509,371517,628,24,No
CUST00143,33,66359,175362,774,24,No
CUST00144,51,61241,809782,801,60,No
CUST00145,27,134134,253547,651,24,No
CUST00146,40,26854,792411,773,24,No
CUST00147,24,97529,356327,564,48,No
CUST00148,21,100243,348151,740,48,No
CUST00149,32,31734,314742,744,12,No
CUST00150,46,89454,127680,795,12,No
CUST00151,57,149403,368594,543,24,No
CUST00152,47,104471,675084,816,24,No
CUST00153,45,84049,514226,652,60,No
CUST00154,40,99531,701194,530,60,No
CUST00155,27,149202,849787,606,24,No
CUST00156,26,45585,301516,588,60,Yes
CUST00157,21,78545,522387,804,48,No
CUST00158,35,62762,791296,644,48,Yes
CUST00159,35,146098,327405,820,60,No
CUST00160,33,80723,170351,778,24,No
CUST00161,38,133348,199145,536,12,No
CUST00162,40,102993,835339,791,36,No
CUST00163,50,115266,368862,706,36,No
CUST00164,52,82377,134349,806,12,No
CUST00165,41,104129,312529,513,12,No
CUST00166,57,101955,71753,844,36,No
CUST00167,32,86669,594173,833,48,No
CUST00168,32,101720,507058,825,48,No
CUST00169,51,70607,478184,670,36,No
CUST00170,31,68228,481641,753,36,No
CUST00171,46,131635,847441,781,12,No
CUST00172,41,58082,388977,559,48,No
CUST00173,21,111200,961597,777,48,No
CUST00174,33,92952,429353,818,48,No
CUST00175,24,51680,330028,781,24,No
CUST00176,49,140454,782168,748,12,Yes
CUST00177,59,129767,300921,581,36,No
CUST00178,56,78476,147736,615,12,No
CUST00179,28,109896,922565,578,48,No
CUST00180,39,91698,789677,639,48,No
CUST00181,51,56946,528975,782,24,No
CUST00182,59,91616,832544,569,12,No
CUST00183,47,69548,875981,759,36,No
CUST00184,39,120164,363058,800,60,No
CUST00185,52,138411,205813,728,60,No
CUST00186,42,97340,849929,778,48,No
CUST00187,41,138980,247816,622,60,No
CUST00188,47,30720,383632,742,48,No
CUST00189,30,89923,88817,564,60,No
CUST00190,42,138993,155239,725,12,No
CUST00191,50,27011,807537,573,48,Yes
CUST00192,30,34807,542296,635,36,Yes
CUST00193,46,110175,134216,668,60,No
CUST00194,41,107155,803629,749,60,Yes
CUST00195,25,55771,711820,850,36,No
CUST00196,26,81881,153225,824,12,No
CUST00197,40,143413,80353,523,36,No
CUST00198,39,71984,443049,720,24,No
CUST00199,47,99177,764919,592,24,No
CUST00200,60,139142,451126,817,24,No
CUST00201,58,43758,293467,736,36,No
CUST00202,21,142821,893718,738,36,No
CUST00203,31,34681,513187,676,60,No
CUST00204,48,115480,312246,733,36,No
CUST00205,45,136848,556680,554,24,No
CUST00206,43,100341,360244,651,12,No
CUST00207,46,60976,58491,789,12,No
CUST00208,52,134161,998075,646,24,No
CUST00209,43,53705,717542,597,60,Yes
CUST00210,29,107345,151883,821,12,No
CUST00211,49,29373,657727,686,24,Yes
CUST00212,39,67823,833790,712,24,No
CUST00213,55,139879,433629,771,60,No
CUST00214,31,58681,914749,746,36,No
CUST00215,42,130412,170764,739,12,No
CUST00216,35,137740,759176,845,48,No
CUST00217,56,72942,144689,702,12,No
CUST00218,28,84609,436490,844,36,No
CUST00219,44,39201,757617,619,48,No
CUST00220,56,67992,689717,613,12,No
CUST00221,50,144195,785132,654,48,No
CUST00222,23,149028,89019,655,48,No
CUST00223,36,141294,613658,569,48,No
CUST00224,55,79935,665870,579,48,No
CUST00225,52,105694,477940,643,12,No
CUST00226,34,83115,516297,620,36,Yes
CUST00227,44,96364,995497,830,36,Yes
CUST00228,38,49878,178093,732,12,No
CUST00229,59,27799,103035,670,24,No
CUST00230,57,51896,121942,783,24,No
CUST00231,35,68064,861984,575,60,Yes
CUST00232,30,42038,616456,628,24,Yes
CUST00233,22,42275,65582,683,24,No
CUST00234,22,47838,328258,526,24,No
CUST00235,54,39896,831886,532,48,Yes
CUST00236,44,92271,672503,555,48,No
CUST00237,60,30683,812569,837,60,No
CUST00238,22,32972,552248,705,48,No
CUST00239,52,118375,515108,537,12,No
CUST00240,30,33609,182321,640,60,No
CUST00241,56,118343,390981,695,60,No
CUST00242,50,91263,684836,720,12,No
CUST00243,28,136777,736516,833,60,No
CUST00244,34,81370,523489,616,48,No
CUST00245,50,77262,486196,548,36,No
CUST00246,37,74060,210053,742,12,Yes
CUST00247,26,37219,502855,549,36,Yes
CUST00248,56,32861,664953,787,60,No
CUST00249,28,78845,420774,840,48,No
CUST00250,24,62700,679575,659,36,No
CUST00251,53,52884,212246,836,48,No
CUST00252,27,70890,936438,784,36,No
CUST00253,38,100248,287144,719,60,No
CUST00254,60,105422,757764,829,60,Yes
CUST00255,38,28794,239179,639,36,No
CUST00256,43,25800,240217,573,60,No
CUST00257,25,43595,826962,824,12,Yes
CUST00258,54,53197,444468,714,48,No
CUST00259,44,65846,806648,666,60,No
CUST00260,24,45392,215056,816,12,No
CUST00261,38,83079,744093,717,48,No
CUST00262,47,60804,276040,762,12,No
CUST00263,28,62125,761163,847,60,No
CUST00264,40,30952,281230,702,60,Yes
CUST00265,34,64507,271494,570,36,No
CUST00266,28,26013,571546,720,24,No
CUST00267,55,117231,291288,756,60,No
CUST00268,43,34447,466359,521,48,Yes
CUST00269,25,137998,378267,794,48,No
CUST00270,47,62947,170768,707,12,No
CUST00271,31,130030,698151,735,36,Yes
CUST00272,27,56891,506839,801,48,No
CUST00273,46,139101,375346,673,24,No
CUST00274,31,35011,585280,824,12,No
CUST00275,33,143741,863934,678,36,No
CUST00276,30,55968,157798,574,36,No
CUST00277,59,45036,847143,835,12,No
CUST00278,52,85811,841093,788,60,No
CUST00279,57,109278,716158,819,36,No
CUST00280,41,44786,511124,534,48,Yes
CUST00281,40,129376,338016,802,12,No
CUST00282,25,65685,534172,731,12,Yes
CUST00283,39,35057,725981,546,60,Yes
CUST00284,45,85648,658519,783,12,No
CUST00285,57,110437,247383,664,60,No
CUST00286,30,33109,522407,552,36,Yes
CUST00287,26,91132,727513,588,12,No
CUST00288,49,82595,599525,767,60,No
CUST00289,44,145315,346635,698,48,No
CUST00290,59,31863,877564,823,36,Yes
CUST00291,27,98133,761332,697,36,No
CUST00292,59,139462,207677,670,12,No
CUST00293,30,145159,416813,658,48,No
CUST00294,26,65577,636072,692,36,No
CUST00295,54,37249,727406,843,48,No
CUST00296,22,72526,373869,592,24,No
CUST00297,52,50166,287547,570,24,Yes
CUST00298,27,91543,858320,776,60,Yes
CUST00299,42,139870,853531,816,24,No
CUST00300,30,46266,239630,819,24,No
CUST00301,23,78852,431995,846,24,No
CUST00302,60,62346,838939,729,24,No
CUST00303,40,130987,872471,740,24,No
CUST00304,57,82749,534106,644,48,No
CUST00305,47,46241,906572,602,60,Yes
CUST00306,37,31839,722324,746,36,No
CUST00307,27,118244,936982,764,12,No
CUST00308,31,60755,521145,762,24,No
CUST00309,26,149048,282823,730,36,No
CUST00310,47,31980,465712,757,36,No
CUST00311,26,74140,285445,514,36,No
CUST00312,42,128727,203143,570,12,No
CUST00313,51,116235,921482,571,48,No
CUST00314,21,143732,133074,509,36,No
CUST00315,30,96932,812560,811,60,No
CUST00316,39,56147,365779,562,12,No
CUST00317,60,84914,115858,556,48,No
CUST00318,22,107831,590410,794,24,No
CUST00319,39,81261,51640,814,36,No
CUST00320,47,49551,746643,842,12,No
CUST00321,44,33870,601613,778,60,No
CUST00322,53,97633,71322,699,48,Yes
CUST00323,45,73929,315971,508,36,No
CUST00324,43,56604,818544,836,12,No
CUST00325,42,42486,96489,680,60,No
CUST00326,32,133840,866990,850,48,No
CUST00327,51,107802,241132,569,12,No
CUST00328,50,29847,357696,603,12,No
CUST00329,23,66365,375138,763,48,No
CUST00330,55,87049,315618,518,24,No
CUST00331,24,138481,737584,669,36,No
CUST00332,44,82272,982694,704,48,No
CUST00333,45,69438,245892,754,48,No
CUST00334,54,59959,890064,542,48,No
CUST00335,59,132785,239222,779,36,No
CUST00336,26,67981,743024,651,36,No
CUST00337,48,46842,773270,727,36,No
CUST00338,43,105589,506068,640,12,Yes
CUST00339,46,72619,588009,847,24,No
CUST00340,30,136236,687086,847,48,Yes
CUST00341,25,55932,866332,830,36,No
CUST00342,57,29244,684487,578,48,Yes
CUST00343,44,83188,850152,539,60,No
CUST00344,44,77171,379657,832,36,No
CUST00345,28,28396,821411,595,48,Yes
CUST00346,56,40435,324492,633,48,No
CUST00347,60,62431,777691,751,24,No
CUST00348,25,84250,231043,727,12,No
CUST00349,41,112535,414301,533,60,No
CUST00350,40,136589,215156,826,24,No
CUST00351,53,54391,177257,602,24,No
CUST00352,52,28445,428427,783,60,No
CUST00353,56,42009,691674,544,12,Yes
CUST00354,51,93903,480749,709,60,Yes
CUST00355,41,109192,127767,730,48,No
CUST00356,43,41821,970607,782,60,No
CUST00357,29,81704,577290,528,12,No
CUST00358,40,46581,219834,665,24,No
CUST00359,54,142299,347846,540,36,No
CUST00360,56,60972,181250,820,36,No
CUST00361,26,90873,722124,586,60,No
CUST00362,30,47439,740731,819,60,No
CUST00363,57,30399,915322,514,12,No
CUST00364,57,59688,732759,607,60,Yes
CUST00365,22,90278,982180,821,60,No
CUST00366,40,88300,306773,850,48,No
CUST00367,25,115257,112823,580,48,No
CUST00368,50,51741,406717,810,24,No
CUST00369,41,121233,952590,676,48,No
CUST00370,44,92499,638933,554,36,No
CUST00371,28,60058,521435,626,24,Yes
CUST00372,39,148913,452810,815,48,No
CUST00373,31,131624,393341,795,36,No
CUST00374,31,90308,589728,739,48,No
CUST00375,52,28037,144423,701,60,No
CUST00376,36,53199,661680,680,12,Yes
CUST00377,52,103317,975199,834,48,No
CUST00378,21,136040,162718,720,24,No
CUST00379,44,125120,472842,687,12,No
CUST00380,57,98638,254110,685,60,No
CUST00381,45,91093,522230,781,36,No
CUST00382,60,114181,690725,560,24,No
CUST00383,46,73915,883510,673,60,No
CUST00384,30,51090,681728,760,48,No
CUST00385,23,30100,193693,670,48,No
CUST00386,30,104463,986516,763,24,No
CUST00387,60,66750,220395,701,60,No
CUST00388,40,102820,402713,759,60,No
CUST00389,57,64294,547960,508,36,No
CUST00390,28,79596,662056,657,12,No
CUST00391,37,110929,870934,796,60,No
CUST00392,24,101483,553787,587,60,No
CUST00393,60,126529,932027,694,24,No
CUST00394,36,29138,650383,556,24,No
CUST00395,41,79890,208787,711,24,No
CUST00396,60,145654,544514,531,24,No
CUST00397,56,67604,744395,744,60,No
CUST00398,32,85249,609024,675,60,No
CUST00399,37,104963,557699,598,24,No
CUST00400,40,54473,362071,647,24,No
CUST00401,52,66555,553110,678,60,No
CUST00402,38,62721,177794,793,60,No
CUST00403,46,132266,411899,574,36,Yes
CUST00404,26,70398,513864,835,36,No
CUST00405,34,51485,918170,775,36,No
CUST00406,38,42992,164532,815,60,No
CUST00407,24,112796,999154,771,24,No
CUST00408,24,38133,483377,669,48,No
CUST00409,29,25679,627086,580,48,Yes
CUST00410,51,87580,732139,602,36,No
CUST00411,24,144005,856066,545,60,No
CUST00412,23,144698,233568,713,24,No
CUST00413,23,134602,466278,753,24,No
CUST00414,39,139916,89286,504,36,No
CUST00415,27,146694,401317,645,48,No
CUST00416,55,93723,567904,568,60,No
CUST00417,33,131012,168118,669,24,No
CUST00418,37,119188,245243,507,36,No
CUST00419,57,113395,844068,598,24,No
CUST00420,46,133395,498479,763,36,Yes
CUST00421,27,49219,197442,744,36,No
CUST00422,21,59181,452206,620,48,No
CUST00423,42,64576,660754,793,12,No
CUST00424,44,115802,297781,531,12,No
CUST00425,31,78138,769400,757,36,No
CUST00426,39,73174,694481,613,24,No
CUST00427,51,45078,527079,810,36,No
CUST00428,56,144642,543699,775,24,No
CUST00429,59,139443,875618,541,60,No
CUST00430,44,35237,641573,557,12,Yes
CUST00431,53,51497,650521,774,24,No
CUST00432,54,82912,171886,848,24,No
CUST00433,52,36919,992553,761,48,No
CUST00434,50,42294,588179,712,48,No
CUST00435,56,85604,755448,657,12,No
CUST00436,21,122754,278486,796,12,Yes
CUST00437,43,116800,116857,777,12,No
CUST00438,25,147391,545002,516,36,No
CUST00439,29,125378,722687,830,48,No
CUST00440,45,83790,961862,693,48,Yes
CUST00441,55,42431,735280,678,12,No
CUST00442,55,76518,604531,565,24,No
CUST00443,22,64107,535494,844,60,No
CUST00444,45,132919,290820,626,48,No
CUST00445,38,49704,967722,557,12,Yes
CUST00446,47,105599,853265,508,24,No
CUST00447,27,102849,85207,728,60,No
CUST00448,24,57077,826513,522,48,Yes
CUST00449,55,53477,841030,528,24,Yes
CUST00450,39,55692,905413,794,36,No
CUST00451,41,56051,366422,573,60,No
CUST00452,40,61064,113918,785,60,No
CUST00453,32,107050,761721,718,60,No
CUST00454,43,148415,724565,843,48,No
CUST00455,41,116266,486548,709,24,No
CUST00456,32,123882,614058,742,24,No
CUST00457,40,137399,791948,573,48,No
CUST00458,56,79090,486740,785,60,No
CUST00459,36,58422,263214,669,12,No
CUST00460,44,37119,611654,597,12,Yes
CUST00461,59,104026,91468,537,24,No
CUST00462,58,119936,754066,786,24,No
CUST00463,42,64739,66078,608,24,No
CUST00464,28,122894,840973,745,24,No
CUST00465,34,76987,300956,782,36,No
CUST00466,45,86112,609572,832,36,No
CUST00467,44,92215,975695,754,48,Yes
CUST00468,51,124828,930521,663,24,No
CUST00469,47,30992,639849,613,24,No
CUST00470,56,147520,662401,796,48,No
CUST00471,33,68236,291192,694,60,No
CUST00472,52,97173,736406,850,36,No
CUST00473,52,119838,722865,751,48,No
CUST00474,43,47185,196757,779,48,No
CUST00475,55,109123,111585,768,12,No
CUST00476,25,148887,907730,842,12,No
CUST00477,47,43021,933472,822,24,Yes
CUST00478,30,26198,279344,758,48,No
CUST00479,60,108588,749143,815,48,No
CUST00480,22,25866,608065,782,48,Yes
CUST00481,54,119659,338086,774,36,Yes
CUST00482,48,130666,237974,554,12,No
CUST00483,36,50156,699887,769,36,No
CUST00484,38,129193,466176,540,36,No
CUST00485,50,99055,305021,615,36,No
CUST00486,26,110686,949908,832,12,Yes
CUST00487,45,74436,629549,743,12,No
CUST00488,31,35837,574139,722,36,No
CUST00489,27,142282,603815,521,24,No
CUST00490,57,87324,334263,523,12,No
CUST00491,38,142874,619408,788,12,No
CUST00492,41,27052,267221,800,24,No
CUST00493,46,146749,130674,653,24,No
CUST00494,57,134399,940704,699,60,No
CUST00495,29,128612,772794,540,60,No
CUST00496,43,32038,152430,723,24,No
CUST00497,42,104320,856360,814,60,No
CUST00498,41,28883,714926,639,48,Yes
CUST00499,43,97487,443663,721,24,No
CUST00500,45,36232,859676,816,36,No
CUST00501,25,35752,330989,578,48,No
CUST00502,30,121948,458548,662,36,No
CUST00503,21,148595,373241,727,36,No
CUST00504,27,42367,141537,595,48,No
CUST00505,56,92166,477865,552,12,Yes
CUST00506,56,37198,675920,806,36,No
CUST00507,21,63253,483911,698,12,No
CUST00508,56,143647,304533,792,60,No
CUST00509,45,47216,195584,637,36,No
CUST00510,30,33292,225329,722,36,No
CUST00511,51,127585,130657,684,36,No
CUST00512,52,102831,696624,600,48,No
CUST00513,40,25887,464913,670,60,No
CUST00514,42,82700,400996,720,60,No
CUST00515,41,104064,779066,602,48,No
CUST00516,46,66830,355605,824,48,No
CUST00517,36,67714,444322,643,48,No
CUST00518,57,51188,670995,779,24,No
CUST00519,56,28527,812538,736,24,No
CUST00520,39,133957,776490,535,48,No
CUST00521,29,108012,367543,623,36,No
CUST00522,48,128425,445303,537,48,No
CUST00523,51,101315,470274,773,60,No
CUST00524,47,96256,88551,684,60,No
CUST00525,26,39335,856306,627,36,Yes
CUST00526,60,30806,640579,830,48,No
CUST00527,42,129363,501365,554,12,Yes
CUST00528,35,91935,833132,765,60,No
CUST00529,57,53971,517432,691,48,No
CUST00530,58,115496,574776,577,36,No
CUST00531,51,38703,359783,712,12,No
CUST00532,30,70656,377040,675,48,No
CUST00533,54,88298,415219,743,12,No
CUST00534,49,66800,120437,653,12,No
CUST00535,28,27960,940429,675,12,No
CUST00536,31,146886,826459,624,60,No
CUST00537,31,68383,637044,718,48,No
CUST00538,46,107543,243411,595,48,No
CUST00539,60,140749,256909,730,60,No
CUST00540,21,117371,275230,605,36,No
CUST00541,25,100674,156694,774,24,No
CUST00542,33,84972,169490,634,48,No
CUST00543,41,103246,457517,812,48,No
CUST00544,43,71135,936589,734,60,No
CUST00545,40,145413,694333,802,12,No
CUST00546,41,40448,300161,656,12,No
CUST00547,30,91954,457333,714,60,No
CUST00548,45,80448,244776,749,60,No
CUST00549,32,97733,224971,750,36,No
CUST00550,41,135360,522908,817,12,No
CUST00551,21,88518,193167,599,48,No
CUST00552,53,110599,569013,709,48,No
CUST00553,49,89054,225377,542,60,Yes
CUST00554,35,63284,84283,640,24,No
CUST00555,31,127333,529536,789,48,No
CUST00556,28,100066,169754,637,60,No
CUST00557,44,96046,912570,521,48,No
CUST00558,48,38423,821740,834,24,No
CUST00559,23,83947,325581,678,12,No
CUST00560,28,126663,901327,621,24,No
CUST00561,58,115326,417663,812,48,No
CUST00562,29,127871,266656,605,12,No
CUST00563,55,61842,675850,775,24,No
CUST00564,39,62923,650556,636,60,No
CUST00565,27,42771,836530,710,12,No
CUST00566,29,116937,958149,567,24,No
CUST00567,41,133590,309579,846,48,No
CUST00568,57,107890,331770,821,48,No
CUST00569,25,108050,883197,547,48,No
CUST00570,38,116056,969933,688,48,No
CUST00571,41,101278,52593,547,48,No
CUST00572,43,136425,116407,773,48,No
CUST00573,48,133114,272142,753,36,No
CUST00574,39,69270,623896,795,24,No
CUST00575,52,128324,410437,849,12,Yes
CUST00576,50,27134,180272,580,48,No
CUST00577,48,51518,772040,567,36,Yes
CUST00578,38,37234,736385,684,36,Yes
CUST00579,31,31787,465594,820,36,No
CUST00580,35,81260,737326,546,12,Yes
CUST00581,51,35215,189145,803,24,No
CUST00582,49,26217,58454,675,12,No
CUST00583,48,115968,188595,744,12,No
CUST00584,26,120782,895106,552,12,No
CUST00585,40,42973,451312,568,24,Yes
CUST00586,57,26110,689966,832,24,No
CUST00587,34,107323,834616,577,48,No
CUST00588,49,137717,277797,544,12,No
CUST00589,28,102276,815470,696,36,No
CUST00590,41,128688,196622,626,36,No
CUST00591,36,97534,680193,807,60,No
CUST00592,22,136134,938217,837,36,No
CUST00593,59,91784,247810,700,36,No
CUST00594,36,89865,454630,557,24,No
CUST00595,59,34307,603948,506,36,Yes
CUST00596,29,75703,952628,791,48,No
CUST00597,32,124972,543894,537,12,No
CUST00598,21,59365,276222,520,12,No
CUST00599,46,91402,350404,821,60,No
CUST00600,48,116987,471818,542,60,No
CUST00601,30,61368,137657,658,12,No
CUST00602,34,130914,212924,774,36,No
CUST00603,25,65654,782614,723,24,Yes
CUST00604,26,146192,505589,559,48,No
CUST00605,24,65539,748435,836,24,No
CUST00606,29,116946,61901,583,48,No
CUST00607,54,92793,871021,632,24,No
CUST00608,38,121067,979473,560,12,No
CUST00609,48,60649,599300,532,36,No
CUST00610,57,107251,130813,754,48,No
CUST00611,24,90484,951104,790,24,No
CUST00612,37,126361,157903,793,12,No
CUST00613,53,25336,96177,506,24,Yes
CUST00614,44,75197,207375,591,12,No
CUST00615,47,54427,387433,627,48,No
CUST00616,41,60554,916120,539,60,No
CUST00617,53,113254,995753,526,24,No
CUST00618,54,31019,470400,535,48,No
CUST00619,40,67899,140581,783,48,Yes
CUST00620,33,63219,641194,655,60,No
CUST00621,44,102554,567326,600,60,No
CUST00622,36,44735,56687,709,12,No
CUST00623,43,108354,930357,504,36,Yes
CUST00624,45,136280,823935,657,12,No
CUST00625,36,80026,565929,530,24,No
CUST00626,26,30754,292716,766,48,No
CUST00627,44,85091,834229,543,60,Yes
CUST00628,29,108521,909793,701,12,No
CUST00629,24,82014,744622,566,24,No
CUST00630,41,146378,889717,701,36,No
CUST00631,38,55619,128315,603,24,No
CUST00632,58,39283,212959,554,24,No
CUST00633,41,78282,176601,774,36,No
CUST00634,34,84233,373284,737,36,No
CUST00635,26,45658,896826,655,60,Yes
CUST00636,41,44441,145643,627,36,No
CUST00637,24,113759,363357,633,24,Yes
CUST00638,46,137014,524167,784,60,No
CUST00639,50,38357,892946,571,12,No
CUST00640,35,42133,257757,705,36,No
CUST00641,26,101326,664590,632,12,Yes
CUST00642,25,50919,996335,830,48,No
CUST00643,26,143630,938432,669,12,Yes
CUST00644,50,31637,226149,793,48,No
CUST00645,46,90028,80914,695,48,No
CUST00646,34,144053,246242,640,36,No
CUST00647,30,29541,693937,817,60,No
CUST00648,39,90390,482005,781,48,Yes
CUST00649,38,75202,193902,714,24,No
CUST00650,54,57656,711393,778,12,No
CUST00651,43,87873,620968,748,36,No
CUST00652,53,67153,457247,638,24,Yes
CUST00653,59,53707,80726,643,12,No
CUST00654,51,94393,424795,799,24,No
CUST00655,27,57487,738772,623,36,Yes
CUST00656,24,125145,280069,794,48,No
CUST00657,32,48081,298041,803,36,No
CUST00658,43,144797,670298,514,36,No
CUST00659,57,43625,640462,596,48,Yes
CUST00660,32,89282,89807,546,12,No
CUST00661,35,27612,602021,744,12,No
CUST00662,60,51406,895619,566,36,Yes
CUST00663,41,32806,72977,575,60,No
CUST00664,30,126497,166308,769,36,No
CUST00665,44,117345,744303,702,60,No
CUST00666,40,67284,193079,580,48,No
CUST00667,52,110089,382695,589,60,No
CUST00668,60,128152,424158,614,60,No
CUST00669,45,65215,819649,650,24,No
CUST00670,21,149359,786109,793,48,No
CUST00671,57,29244,240926,808,36,No
CUST00672,60,53953,720718,789,12,No
CUST00673,30,68406,831549,539,24,No
CUST00674,41,47005,717090,545,36,Yes
CUST00675,37,52483,311662,534,36,No
CUST00676,27,119426,51343,524,48,No
CUST00677,47,46802,977519,711,48,No
CUST00678,43,96568,443580,551,48,No
CUST00679,57,110323,845075,615,24,No
CUST00680,23,63654,71053,663,36,No
CUST00681,25,69801,228368,692,24,No
CUST00682,56,148448,991751,547,36,No
CUST00683,60,142076,556186,515,48,No
CUST00684,31,104602,982973,722,24,Yes
CUST00685,42,51941,249212,709,60,No
CUST00686,55,59768,742687,644,36,Yes
